account_id,customer_name,age,account_type,balance,transaction_count,credit_score,branch_city,loan_status,last_transaction_date
1,Matthew Smith,58,Business,35421.26,17,573,West Kimshire,Approved,2024-09-05
2,James Mitchell,25,Savings,3037.80,62,463,Eastborough,Rejected,2025-01-14
3,Sophia Johnson,34,Checking,10458.77,43,698,Northport,Approved,2024-12-02
4,Emily Davis,46,Checking,2145.00,15,602,West Kimshire,Approved,2024-11-18
5,Daniel Brown,29,Savings,8745.60,27,655,Southbury,Pending,2025-02-02
6,Olivia Wilson,37,Business,45218.32,83,721,Eastborough,Approved,2025-01-27
7,Ethan Taylor,51,Checking,1520.90,8,410,Northport,Rejected,2024-08-19
8,Isabella Thomas,28,Savings,6578.43,33,690,Southbury,Approved,2024-12-22
9,Michael Harris,39,Checking,12985.40,51,745,West Kimshire,Approved,2024-10-09
10,Charlotte Martin,32,Business,57230.10,102,812,Eastborough,Approved,2025-01-05
11,Alexander Lee,41,Checking,3120.15,29,588,Northport,Pending,2024-09-28
12,Mia White,27,Savings,985.44,6,470,Southbury,Rejected,2025-01-17
13,Henry Lewis,55,Business,62145.78,73,730,West Kimshire,Approved,2024-11-20
14,Amelia Walker,36,Checking,4325.66,21,601,Eastborough,Pending,2025-02-10
15,Lucas Hall,30,Savings,11450.90,47,680,Northport,Approved,2024-12-15
16,Evelyn Allen,44,Business,38950.12,54,702,Southbury,Approved,2025-01-22
17,Jack Young,52,Checking,5240.77,38,589,West Kimshire,Rejected,2024-10-29
18,Harper King,26,Savings,7490.30,12,650,Eastborough,Approved,2025-02-08
19,William Scott,47,Business,81500.20,96,760,Northport,Approved,2024-11-05
20,Abigail Green,33,Checking,2958.00,14,555,Southbury,Pending,2025-01-28
21,Samuel Adams,61,Savings,14025.50,63,672,West Kimshire,Approved,2024-09-14
22,Chloe Baker,29,Business,60210.65,80,715,Eastborough,Approved,2025-02-03
23,David Nelson,42,Checking,7890.40,27,640,Northport,Rejected,2024-12-29
24,Lily Carter,38,Savings,2150.95,11,498,Southbury,Pending,2025-01-09
25,Joseph Perez,56,Business,70540.70,91,742,West Kimshire,Approved,2024-10-21
26,Grace Roberts,24,Savings,4320.18,19,612,Eastborough,Approved,2025-02-14
